ug.test,%+,MFI+,MFI-,rSD-,SI,SI-iso,S:N,Row,pop,spec,Filename,Well.ID,Plate.ID,Prep.Date,Stain.Date,Experiment.Type,Plate.Row,Plate.Column,Stability.Time.point,Gating.Control,Target.Species,Specificity..CD.,Specificity..non.CD.,Isotype.Host.Species,Host.Species,Isotype..Heavy.Chain.,Isotype..Light.Chain.,Clone,Fluorochrome,Parameter,Batch.Number,ug.test,units,Sample.Type,Sample.Species,Sample.Strain,Donor.ID,spec1_name,Positive...Negative_1,spec2_name,Positive...Negative_2,spec3_name,Positive...Negative_3,gating_method,gating_argument,Optimal.with.units,BV421.Stain.Index,Doublet.discrimination,Viability.Fluorochrome,Viability.Parameter,Costain.Fluorochrome,Costain.Parameter,CS.T.Beads.Lot..,Notes,Cytometer
500,2.9,14137,79,303,23,23,179,B,Lymph,Jul-40,Specimen_001_B6_B06_019.fcs,B6,FY21w5p8,3/18/2021,3/19/2021,S,B,6,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,500,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
1000,2.5,13781,68,383,18,18,203,B,Lymph,Jul-40,Specimen_001_B7_B07_020.fcs,B7,FY21w5p8,3/18/2021,3/19/2021,S,B,7,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,1000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
2000,1.7,17478,92,554,16,16,190,B,Lymph,Jul-40,Specimen_001_B8_B08_021.fcs,B8,FY21w5p8,3/18/2021,3/19/2021,S,B,8,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,2000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
30,0,NA,4181,7218,NA,NA,NA,A,Mono,90-100,Specimen_001_B2_B02_015.fcs,A2,FY21w5p8,3/18/2021,3/19/2021,S,B,2,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,30,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
60,0,NA,5355,7812,NA,NA,NA,A,Mono,90-100,Specimen_001_B3_B03_016.fcs,A3,FY21w5p8,3/18/2021,3/19/2021,S,B,3,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,60,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
125,0,NA,6239,9336,NA,NA,NA,A,Mono,90-100,Specimen_001_B4_B04_017.fcs,A4,FY21w5p8,3/18/2021,3/19/2021,S,B,4,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,125,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
250,0,NA,3890,8108,NA,NA,NA,A,Mono,90-100,Specimen_001_B5_B05_018.fcs,A5,FY21w5p8,3/18/2021,3/19/2021,S,B,5,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,250,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
500,0,NA,5787,9421,NA,NA,NA,A,Mono,90-100,Specimen_001_B6_B06_019.fcs,A6,FY21w5p8,3/18/2021,3/19/2021,S,B,6,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,500,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
1000,0,NA,7091,10450,NA,NA,NA,A,Mono,90-100,Specimen_001_B7_B07_020.fcs,A7,FY21w5p8,3/18/2021,3/19/2021,S,B,7,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,1000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
2000,0,NA,2465,7113,NA,NA,NA,A,Mono,90-100,Specimen_001_B8_B08_021.fcs,A8,FY21w5p8,3/18/2021,3/19/2021,S,B,8,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,2000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
30,0,NA,2964,6822,NA,NA,NA,B,Mono,90-100,Specimen_001_B2_B02_015.fcs,B2,FY21w5p8,3/18/2021,3/19/2021,S,B,2,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,30,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
60,0,NA,1558,5940,NA,NA,NA,B,Mono,90-100,Specimen_001_B3_B03_016.fcs,B3,FY21w5p8,3/18/2021,3/19/2021,S,B,3,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,60,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
125,0,NA,6571,8792,NA,NA,NA,B,Mono,90-100,Specimen_001_B4_B04_017.fcs,B4,FY21w5p8,3/18/2021,3/19/2021,S,B,4,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,125,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
250,0,NA,7904,8212,NA,NA,NA,B,Mono,90-100,Specimen_001_B5_B05_018.fcs,B5,FY21w5p8,3/18/2021,3/19/2021,S,B,5,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,250,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
500,0,NA,7786,10166,NA,NA,NA,B,Mono,90-100,Specimen_001_B6_B06_019.fcs,B6,FY21w5p8,3/18/2021,3/19/2021,S,B,6,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,500,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
1000,0,NA,8182,11984,NA,NA,NA,B,Mono,90-100,Specimen_001_B7_B07_020.fcs,B7,FY21w5p8,3/18/2021,3/19/2021,S,B,7,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,1000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
2000,0,NA,5879,9287,NA,NA,NA,B,Mono,90-100,Specimen_001_B8_B08_021.fcs,B8,FY21w5p8,3/18/2021,3/19/2021,S,B,8,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,2000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
30,0.052,62977,3261,2518,NA,NA,NA,A,Gran,80-100,Specimen_001_B2_B02_015.fcs,A2,FY21w5p8,3/18/2021,3/19/2021,S,B,2,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,30,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
60,0.021,48752,2634,2141,NA,NA,NA,A,Gran,80-100,Specimen_001_B3_B03_016.fcs,A3,FY21w5p8,3/18/2021,3/19/2021,S,B,3,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,60,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
125,0.09,38354,3100,2165,NA,NA,NA,A,Gran,80-100,Specimen_001_B4_B04_017.fcs,A4,FY21w5p8,3/18/2021,3/19/2021,S,B,4,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,125,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
250,0.16,54671,3431,2145,NA,NA,NA,A,Gran,80-100,Specimen_001_B5_B05_018.fcs,A5,FY21w5p8,3/18/2021,3/19/2021,S,B,5,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,250,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
500,0.12,30070,2801,1884,NA,NA,NA,A,Gran,80-100,Specimen_001_B6_B06_019.fcs,A6,FY21w5p8,3/18/2021,3/19/2021,S,B,6,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,500,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
1000,0.18,55794,3492,2173,NA,NA,NA,A,Gran,80-100,Specimen_001_B7_B07_020.fcs,A7,FY21w5p8,3/18/2021,3/19/2021,S,B,7,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,1000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
2000,0.2,42365,3190,2035,NA,NA,NA,A,Gran,80-100,Specimen_001_B8_B08_021.fcs,A8,FY21w5p8,3/18/2021,3/19/2021,S,B,8,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,2000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
30,0.019,56637,3062,2524,11,11,18,B,Gran,80-100,Specimen_001_B2_B02_015.fcs,B2,FY21w5p8,3/18/2021,3/19/2021,S,B,2,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,30,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
60,0.12,37123,2614,2101,8.2,8.2,14,B,Gran,80-100,Specimen_001_B3_B03_016.fcs,B3,FY21w5p8,3/18/2021,3/19/2021,S,B,3,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,60,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
125,0.077,62078,2883,2093,14,14,22,B,Gran,80-100,Specimen_001_B4_B04_017.fcs,B4,FY21w5p8,3/18/2021,3/19/2021,S,B,4,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,125,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
250,0.079,39129,3471,2131,8.4,8.4,11,B,Gran,80-100,Specimen_001_B5_B05_018.fcs,B5,FY21w5p8,3/18/2021,3/19/2021,S,B,5,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,250,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
500,0.073,35366,2761,1849,8.8,8.8,13,B,Gran,80-100,Specimen_001_B6_B06_019.fcs,B6,FY21w5p8,3/18/2021,3/19/2021,S,B,6,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,500,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
1000,0.072,46591,3353,2122,10,10,14,B,Gran,80-100,Specimen_001_B7_B07_020.fcs,B7,FY21w5p8,3/18/2021,3/19/2021,S,B,7,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,1000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
2000,0.15,43112,3142,2033,9.8,9.8,14,B,Gran,80-100,Specimen_001_B8_B08_021.fcs,B8,FY21w5p8,3/18/2021,3/19/2021,S,B,8,0.5,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,2000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
30,3.3,6123,46,137,NA,NA,NA,A,Lymph,Jul-40,Specimen_001_C2_C02_027.fcs,A2,FY21w5p8,3/18/2021,3/19/2021,S,C,2,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,30,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
60,3.4,7758,51,159,NA,NA,NA,A,Lymph,Jul-40,Specimen_001_C3_C03_028.fcs,A3,FY21w5p8,3/18/2021,3/19/2021,S,C,3,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,60,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
125,3.2,11142,68,215,NA,NA,NA,A,Lymph,Jul-40,Specimen_001_C4_C04_029.fcs,A4,FY21w5p8,3/18/2021,3/19/2021,S,C,4,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,125,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
250,3,11868,71,257,NA,NA,NA,A,Lymph,Jul-40,Specimen_001_C5_C05_030.fcs,A5,FY21w5p8,3/18/2021,3/19/2021,S,C,5,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,250,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
500,2.6,13596,77,318,NA,NA,NA,A,Lymph,Jul-40,Specimen_001_C6_C06_031.fcs,A6,FY21w5p8,3/18/2021,3/19/2021,S,C,6,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,500,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
1000,2.6,13962,77,373,NA,NA,NA,A,Lymph,Jul-40,Specimen_001_C7_C07_032.fcs,A7,FY21w5p8,3/18/2021,3/19/2021,S,C,7,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,1000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
2000,1.7,17227,88,571,NA,NA,NA,A,Lymph,Jul-40,Specimen_001_C8_C08_033.fcs,A8,FY21w5p8,3/18/2021,3/19/2021,S,C,8,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,2000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
30,3.5,5737,45,136,21,21,128,C,Lymph,Jul-40,Specimen_001_C2_C02_027.fcs,C2,FY21w5p8,3/18/2021,3/19/2021,S,C,2,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,30,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
60,3.7,7646,52,152,25,25,148,C,Lymph,Jul-40,Specimen_001_C3_C03_028.fcs,C3,FY21w5p8,3/18/2021,3/19/2021,S,C,3,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,60,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
125,3.1,12043,62,217,28,28,194,C,Lymph,Jul-40,Specimen_001_C4_C04_029.fcs,C4,FY21w5p8,3/18/2021,3/19/2021,S,C,4,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,125,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
250,3.2,11934,72,264,23,23,165,C,Lymph,Jul-40,Specimen_001_C5_C05_030.fcs,C5,FY21w5p8,3/18/2021,3/19/2021,S,C,5,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,250,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
500,2.6,13554,75,307,22,22,181,C,Lymph,Jul-40,Specimen_001_C6_C06_031.fcs,C6,FY21w5p8,3/18/2021,3/19/2021,S,C,6,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,500,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
1000,2.6,14040,64,357,20,20,218,C,Lymph,Jul-40,Specimen_001_C7_C07_032.fcs,C7,FY21w5p8,3/18/2021,3/19/2021,S,C,7,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,1000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
2000,1.5,17236,73,545,16,16,236,C,Lymph,Jul-40,Specimen_001_C8_C08_033.fcs,C8,FY21w5p8,3/18/2021,3/19/2021,S,C,8,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,2000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
30,0,NA,4181,7218,NA,NA,NA,A,Mono,90-100,Specimen_001_C2_C02_027.fcs,A2,FY21w5p8,3/18/2021,3/19/2021,S,C,2,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,30,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
60,0,NA,5355,7812,NA,NA,NA,A,Mono,90-100,Specimen_001_C3_C03_028.fcs,A3,FY21w5p8,3/18/2021,3/19/2021,S,C,3,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,60,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
125,0,NA,6239,9336,NA,NA,NA,A,Mono,90-100,Specimen_001_C4_C04_029.fcs,A4,FY21w5p8,3/18/2021,3/19/2021,S,C,4,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,125,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
250,0,NA,3890,8108,NA,NA,NA,A,Mono,90-100,Specimen_001_C5_C05_030.fcs,A5,FY21w5p8,3/18/2021,3/19/2021,S,C,5,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,250,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
500,0,NA,5787,9421,NA,NA,NA,A,Mono,90-100,Specimen_001_C6_C06_031.fcs,A6,FY21w5p8,3/18/2021,3/19/2021,S,C,6,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,500,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
1000,0,NA,7091,10450,NA,NA,NA,A,Mono,90-100,Specimen_001_C7_C07_032.fcs,A7,FY21w5p8,3/18/2021,3/19/2021,S,C,7,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,1000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
2000,0,NA,2465,7113,NA,NA,NA,A,Mono,90-100,Specimen_001_C8_C08_033.fcs,A8,FY21w5p8,3/18/2021,3/19/2021,S,C,8,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,2000,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
30,0,NA,4631,7000,NA,NA,NA,C,Mono,90-100,Specimen_001_C2_C02_027.fcs,C2,FY21w5p8,3/18/2021,3/19/2021,S,C,2,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,30,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
60,0,NA,5373,6294,NA,NA,NA,C,Mono,90-100,Specimen_001_C3_C03_028.fcs,C3,FY21w5p8,3/18/2021,3/19/2021,S,C,3,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,60,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
125,0,NA,6887,7094,NA,NA,NA,C,Mono,90-100,Specimen_001_C4_C04_029.fcs,C4,FY21w5p8,3/18/2021,3/19/2021,S,C,4,1,A,human,CD11c,NA,Mouse IgG1 kappa,Mouse,IgG1,kappa,B-ly6,R718,R-730-A,124782,125,ng/test,LWB,Human,NA,644,LWB-L,Positive,LWB-M,Positive,LWB-G,Positive,sd,3,0.5 ug/test,NA,NA,NA,NA,NA,NA,70757,NA,X-20C (Chico) (H656385048)
